entry_no,file_handle,name,formula,charge,dG_solv_kcal,dG_solv_kJ,type,SASA_H,SASA_C,SASA_HC,SASA_CC,SASA_HO,SASA_HN,SASA_O,SASA_N,SASA_F,SASA_Cl,SASA_Br,SASA_I,SASA_S,SASA_total
2137,0048pro,isopropanol,H8C3O1,0,-4.76,-19.92,abs,96.348,18.269,56.984,12.25,8.387,0.0,17.931,0.0,0.0,0.0,0.0,0.0,0.0,132.546
2138,0049but,1-butanol,H10C4O1,0,-4.72,-19.75,abs,121.113,19.833,72.23,16.122,9.834,0.0,18.044,0.0,0.0,0.0,0.0,0.0,0.0,158.978
2139,0050met,t-butanol,H10C4O1,0,-4.51,-18.87,abs,114.734,21.73,69.575,13.36,8.185,0.0,15.936,0.0,0.0,0.0,0.0,0.0,0.0,152.4
2140,0051cyc,cyclopentanol,H10C5O1,0,-5.49,-22.97,abs,118.931,20.928,73.802,25.403,6.732,0.0,17.878999999999998,0.0,0.0,0.0,0.0,0.0,0.0,157.735
2141,0052pen,1-pentanol,H12C5O1,0,-4.47,-18.7,abs,141.224,22.687,86.487,19.584,9.06,0.0,19.042,0.0,0.0,0.0,0.0,0.0,0.0,182.924
2142,0053phe,phenol,H6C6O1,0,-6.62,-27.7,abs,74.866,60.488,42.537,81.184,8.575,0.0,22.697,0.0,0.0,0.0,0.0,0.0,0.0,153.746
2143,0054hex,1-hexanol,H14C6O1,0,-4.36,-18.24,abs,162.885,25.384,101.054,22.886,9.054,0.0,19.043000000000003,0.0,0.0,0.0,0.0,0.0,0.0,207.282
2144,0055ocr,o-cresol,H8C7O1,0,-5.87,-24.56,abs,96.156,63.514,56.868,82.409,8.542,0.0,19.095,0.0,0.0,0.0,0.0,0.0,0.0,175.327
2145,0056mcr,m-cresol,H8C7O1,0,-5.49,-22.97,abs,96.138,62.885,56.85,81.215,8.543,0.0,22.656,0.0,0.0,0.0,0.0,0.0,0.0,177.442
2146,0057pcr,p-cresol,H8C7O1,0,-6.14,-25.69,abs,96.461,62.796,57.007,81.107,8.595,0.0,22.601,0.0,0.0,0.0,0.0,0.0,0.0,177.686
2147,0058hep,1-heptanol,H16C7O1,0,-4.24,-17.74,abs,184.583,28.065,115.633,26.186,9.061,0.0,19.041,0.0,0.0,0.0,0.0,0.0,0.0,231.66
2148,0060dim,dimethylether,H6C2O1,0,-1.92,-8.03,abs,73.641,21.013,49.548,0.0,0.0,0.0,15.339,0.0,0.0,0.0,0.0,0.0,0.0,109.24
2149,0061tet,tetrahydrofuran,H8C4O1,0,-3.47,-14.52,abs,100.083,22.985,67.438,20.754,0.0,0.0,15.309000000000001,0.0,0.0,0.0,0.0,0.0,0.0,138.291
2150,0062dio,"1,4-dioxane",H8C4O2,0,-5.05,-21.13,abs,97.289,20.715,65.452,12.801,0.0,0.0,28.462,0.0,0.0,0.0,0.0,0.0,0.0,146.316
2151,0063die,diethylether,H10C4O1,0,-1.76,-7.36,abs,115.628,27.976,77.884,17.249,0.0,0.0,12.642,0.0,0.0,0.0,0.0,0.0,0.0,156.159
2152,0064met,methylpropylether,H10C4O1,0,-1.66,-6.95,abs,120.023,26.654,80.754,12.307,0.0,0.0,13.393,0.0,0.0,0.0,0.0,0.0,0.0,159.523
2153,0065met,methylisopropylether,H10C4O1,0,-2.01,-8.41,abs,115.891,27.174,78.035,11.336,0.0,0.0,12.124,0.0,0.0,0.0,0.0,0.0,0.0,154.908
2154,0066dim,"1,2-dimethoxyethane",H10C4O2,0,-4.84,-20.25,abs,119.429,28.058,80.3,4.34,0.0,0.0,26.623,0.0,0.0,0.0,0.0,0.0,0.0,172.971
2155,0067but,t-butylmethylether,H12C5O1,0,-2.21,-9.25,abs,131.28,29.788,88.456,12.334,0.0,0.0,10.862,0.0,0.0,0.0,0.0,0.0,0.0,171.704
2156,0068ani,anisole,H8C7O1,0,-2.45,-10.25,abs,95.456,68.582,64.505,79.037,0.0,0.0,15.756,0.0,0.0,0.0,0.0,0.0,0.0,176.496
2157,0070eth,acetaldehyde,H4C2O1,0,-3.5,-14.64,abs,51.137,23.229,34.381,14.542,0.0,0.0,42.952,0.0,0.0,0.0,0.0,0.0,0.0,100.417
2158,0071proa,propanal,H6C3O1,0,-3.44,-14.39,abs,75.106,25.462,50.508,18.63,0.0,0.0,39.096000000000004,0.0,0.0,0.0,0.0,0.0,0.0,124.289
2159,0072but,butanal,H8C4O1,0,-3.18,-13.31,abs,96.399,27.462,64.833,21.603,0.0,0.0,42.937,0.0,0.0,0.0,0.0,0.0,0.0,149.908
2160,0073pen,pentanal,H10C5O1,0,-3.03,-12.68,abs,118.886,30.591,79.93,24.734,0.0,0.0,39.038,0.0,0.0,0.0,0.0,0.0,0.0,173.165
2161,0074ben,benzaldehyde,H6C7O1,0,-4.02,-16.82,abs,72.554,71.432,48.992,90.541,0.0,0.0,39.647,0.0,0.0,0.0,0.0,0.0,0.0,168.078
2162,0075pro,acetone,H6C3O1,0,-3.85,-16.11,abs,73.178,26.503,49.331,20.806,0.0,0.0,41.047,0.0,0.0,0.0,0.0,0.0,0.0,124.665
2163,0076but,2-butanone,H8C4O1,0,-3.64,-15.23,abs,96.603,29.05,65.096,24.549,0.0,0.0,36.869,0.0,0.0,0.0,0.0,0.0,0.0,148.104
2164,0077cyc,cyclopentanone,H8C5O1,0,-4.68,-19.58,abs,100.59,26.5,67.774,32.443,0.0,0.0,42.969,0.0,0.0,0.0,0.0,0.0,0.0,153.149
2165,0078pen,2-pentanone,H10C5O1,0,-3.53,-14.77,abs,118.63,31.561,79.9,27.404,0.0,0.0,36.787,0.0,0.0,0.0,0.0,0.0,0.0,172.595
2166,0079pen,3-pentanone,H10C5O1,0,-3.41,-14.27,abs,119.981,31.638,80.826,28.323,0.0,0.0,32.647999999999996,0.0,0.0,0.0,0.0,0.0,0.0,171.504
2167,0080hex,2-hexanone,H12C6O1,0,-3.29,-13.77,abs,140.285,34.231,94.453,30.67,0.0,0.0,36.815,0.0,0.0,0.0,0.0,0.0,0.0,196.934
2168,0081dim,"3,3-dimethylbutanone",H12C6O1,0,-2.89,-12.09,abs,128.508,32.389,86.601,22.495,0.0,0.0,36.101,0.0,0.0,0.0,0.0,0.0,0.0,182.894
2169,0082hep,2-heptanone,H14C7O1,0,-3.04,-12.72,abs,162.007,36.9,109.054,33.96,0.0,0.0,36.804,0.0,0.0,0.0,0.0,0.0,0.0,221.323
2170,0083hep,4-heptanone,H14C7O1,0,-2.93,-12.26,abs,163.914,36.702,110.351,34.067,0.0,0.0,32.539,0.0,0.0,0.0,0.0,0.0,0.0,220.44
2171,0084met,acetophenone,H8C8O1,0,-4.58,-19.16,abs,92.659,73.893,62.626,95.692,0.0,0.0,36.642,0.0,0.0,0.0,0.0,0.0,0.0,188.909
2172,0085non,5-nonanone,H18C9O1,0,-2.67,-11.17,abs,207.366,42.001,139.558,40.572,0.0,0.0,32.502,0.0,0.0,0.0,0.0,0.0,0.0,269.167
2173,0086eth,aceticacid,H4C2O2,0,-6.7,-28.03,abs,50.326,18.311,25.273,11.467,9.17,0.0,73.25099999999999,0.0,0.0,0.0,0.0,0.0,0.0,111.87
2174,0087pro,propanoicacid,H6C3O2,0,-6.47,-27.07,abs,74.142,20.699,41.287,15.316,9.179,0.0,68.83600000000001,0.0,0.0,0.0,0.0,0.0,0.0,135.63
2175,0088but,butanoicacid,H8C4O2,0,-6.36,-26.61,abs,96.172,23.176,56.103,18.152,9.17,0.0,68.742,0.0,0.0,0.0,0.0,0.0,0.0,160.091
2176,0089pen,pentanoicacid,H10C5O2,0,-6.16,-25.77,abs,117.904,25.808,70.707,21.385,9.17,0.0,68.74000000000001,0.0,0.0,0.0,0.0,0.0,0.0,184.471
2177,0090hex,hexanoicacid,H12C6O2,0,-6.21,-25.98,abs,139.578,28.494,85.277,24.684,9.169,0.0,68.729,0.0,0.0,0.0,0.0,0.0,0.0,208.827
2178,0091met,methylformate,H4C2O2,0,-2.78,-11.63,abs,49.636,24.424,33.462,0.0,0.0,0.0,71.707,0.0,0.0,0.0,0.0,0.0,0.0,111.342
2179,0092ethb,ethylformate,H6C3O2,0,-2.65,-11.09,abs,74.167,27.473,49.965,8.397,0.0,0.0,69.304,0.0,0.0,0.0,0.0,0.0,0.0,137.183
2180,0093met,methylacetate,H6C3O2,0,-3.32,-13.89,abs,73.933,27.914,49.895,10.989,0.0,0.0,61.104,0.0,0.0,0.0,0.0,0.0,0.0,136.765
2181,0094met,methylpropanoate,H8C4O2,0,-2.93,-12.26,abs,97.741,30.312,65.908,14.853,0.0,0.0,56.675999999999995,0.0,0.0,0.0,0.0,0.0,0.0,160.493
2182,0095eth,ethylacetate,H8C4O2,0,-3.1,-12.97,abs,98.436,31.008,66.383,19.33,0.0,0.0,58.763,0.0,0.0,0.0,0.0,0.0,0.0,162.605
2183,0096met,methylbutanoate,H10C5O2,0,-2.83,-11.84,abs,119.779,32.796,80.718,17.692,0.0,0.0,56.559,0.0,0.0,0.0,0.0,0.0,0.0,184.957
2184,0097pro,propylacetate,H10C5O2,0,-2.86,-11.97,abs,120.565,33.366,81.258,23.078,0.0,0.0,58.731,0.0,0.0,0.0,0.0,0.0,0.0,187.055
2185,0098met,methylpentanoate,H12C6O2,0,-2.57,-10.75,abs,141.485,35.435,95.312,20.929,0.0,0.0,56.571999999999996,0.0,0.0,0.0,0.0,0.0,0.0,209.323
2186,0099but,butylacetate,H12C6O2,0,-2.55,-10.67,abs,142.384,35.988,95.928,26.258,0.0,0.0,58.714999999999996,0.0,0.0,0.0,0.0,0.0,0.0,211.484
2187,0100met,methylhexanoate,H14C7O2,0,-2.49,-10.42,abs,163.165,38.119,109.887,24.226,0.0,0.0,56.565,0.0,0.0,0.0,0.0,0.0,0.0,233.686
2188,0101pen,pentylacetate,H14C7O2,0,-2.45,-10.25,abs,164.048,38.675,110.491,29.56,0.0,0.0,58.717,0.0,0.0,0.0,0.0,0.0,0.0,235.834
2189,0103eth,ethylamine,H7C2N1,0,-4.5,-18.83,abs,89.43,14.194,42.357,8.715,0.0,18.548,0.0,52.439,0.0,0.0,0.0,0.0,0.0,115.505
2190,0104dim,dimethylamine,H7C2N1,0,-4.29,-17.95,abs,87.404,19.36,50.035,0.0,0.0,9.117,0.0,89.076,0.0,0.0,0.0,0.0,0.0,115.134
2191,0105aze,azetidine,H7C3N1,0,-5.56,-23.26,abs,91.38,22.427,52.224,18.048,0.0,9.7,0.0,95.883,0.0,0.0,0.0,0.0,0.0,123.985
2192,0106pro,propylamine,H9C3N1,0,-4.39,-18.37,abs,111.065,16.847,56.953,12.735,0.0,18.496,0.0,52.063,0.0,0.0,0.0,0.0,0.0,139.805
2193,0107tri,trimethylamine,H9C3N1,0,-3.23,-13.51,abs,104.469,25.444,70.245,0.0,0.0,0.0,0.0,103.906,0.0,0.0,0.0,0.0,0.0,135.848
2194,0108pyr,pyrrolidine,H9C4N1,0,-5.48,-22.93,abs,112.492,21.245,67.367,19.323,0.0,8.754,0.0,89.22399999999999,0.0,0.0,0.0,0.0,0.0,143.302
2195,0109pip,piperazine,H10C4N2,0,-7.4,-30.96,abs,124.005,17.974,65.685,11.08,0.0,18.385,0.0,140.622,0.0,0.0,0.0,0.0,0.0,156.77
2196,0110but,butylamine,H11C4N1,0,-4.29,-17.95,abs,132.847,19.503,71.584,15.978,0.0,18.504,0.0,52.071000000000005,0.0,0.0,0.0,0.0,0.0,164.243
2197,0111die,diethylamine,H11C4N1,0,-4.07,-17.03,abs,124.959,25.41,76.627,15.564,0.0,7.802,0.0,71.242,0.0,0.0,0.0,0.0,0.0,157.896
2198,0112Nme,N-methylpiperazine,H12C5N2,0,-7.77,-32.51,abs,141.129,23.989,85.984,9.564,0.0,9.205,0.0,153.399,0.0,0.0,0.0,0.0,0.0,177.663
2199,0113pen,pentylamine,H13C5N1,0,-4.1,-17.15,abs,154.498,22.18,86.156,19.278,0.0,18.487,0.0,52.112,0.0,0.0,0.0,0.0,0.0,188.583
2200,0114NNd,"N,N'-dimethylpiperazine",H14C6N2,0,-7.58,-31.71,abs,158.288,30.044,106.338,8.052,0.0,0.0,0.0,166.689,0.0,0.0,0.0,0.0,0.0,198.625
2201,0115dip,dipropylamine,H15C6N1,0,-3.66,-15.31,abs,167.771,31.177,105.439,23.011,0.0,7.779,0.0,69.639,0.0,0.0,0.0,0.0,0.0,206.386
2202,0116pyr,pyridine,H5C5N1,0,-4.7,-19.66,abs,64.653,57.425,43.744,60.8,0.0,0.0,0.0,73.078,0.0,0.0,0.0,0.0,0.0,136.379
2203,0117met,2-methylpyrazine,H6C5N2,0,-5.57,-23.3,abs,74.327,52.449,50.184,38.678,0.0,0.0,0.0,137.40800000000002,0.0,0.0,0.0,0.0,0.0,154.478
2204,0118ani,aniline,H7C6N1,0,-5.49,-22.97,abs,88.183,59.941,42.242,80.39,0.0,18.043,0.0,27.723,0.0,0.0,0.0,0.0,0.0,159.079
2205,0119met,2-methylpyridine,H7C6N1,0,-4.63,-19.37,abs,87.059,60.697,58.819,66.119,0.0,0.0,0.0,62.847,0.0,0.0,0.0,0.0,0.0,160.826
2206,0120met,3-methylpyridine,H7C6N1,0,-4.77,-19.96,abs,86.387,59.712,58.331,60.997,0.0,0.0,0.0,72.644,0.0,0.0,0.0,0.0,0.0,160.369
2207,0121met,4-methylpyridine,H7C6N1,0,-4.94,-20.67,abs,86.159,59.714,58.183,60.545,0.0,0.0,0.0,73.375,0.0,0.0,0.0,0.0,0.0,160.244
2208,0122Nme,N-methylaniline,H9C7N1,0,-4.68,-19.58,abs,107.197,68.003,64.401,78.808,0.0,8.312,0.0,48.846000000000004,0.0,0.0,0.0,0.0,0.0,181.419
2209,0123dim,"2,4-dimethylpyridine",H9C7N1,0,-4.86,-20.33,abs,108.451,63.026,73.18,65.917,0.0,0.0,0.0,63.131,0.0,0.0,0.0,0.0,0.0,184.612
2210,0124dim,"2,5-dimethylpyridine",H9C7N1,0,-4.72,-19.75,abs,108.959,62.922,73.512,66.262,0.0,0.0,0.0,62.466,0.0,0.0,0.0,0.0,0.0,184.935
2211,0125dim,"2,6-dimethylpyridine",H9C7N1,0,-4.6,-19.25,abs,109.515,63.96,73.928,71.414,0.0,0.0,0.0,52.935,0.0,0.0,0.0,0.0,0.0,185.283
2212,0126eth,acetonitrile,H3C2N1,0,-3.89,-16.28,abs,38.186,30.572,25.764,19.707,0.0,0.0,0.0,62.26899999999999,0.0,0.0,0.0,0.0,0.0,96.412
2213,0127pro,propionitrile,H5C3N1,0,-3.85,-16.11,abs,62.648,31.833,42.245,23.017,0.0,0.0,0.0,60.992000000000004,0.0,0.0,0.0,0.0,0.0,122.141
2214,0128butb,butanonitrile,H7C4N1,0,-3.64,-15.23,abs,84.311,32.7,56.807,25.675,0.0,0.0,0.0,59.556000000000004,0.0,0.0,0.0,0.0,0.0,144.608
2215,0129ben,benzonitrile,H5C7N1,0,-4.1,-17.15,abs,63.101,76.123,42.72,93.795,0.0,0.0,0.0,60.875,0.0,0.0,0.0,0.0,0.0,166.898
2216,0130nit,nitroethane,H5C2N1O2,0,-3.71,-15.52,abs,61.013,13.574,41.161,8.445,0.0,0.0,81.688,19.101,0.0,0.0,0.0,0.0,0.0,129.71
2217,0131nit,1-nitropropane,H7C3N1O2,0,-3.34,-13.97,abs,83.214,15.902,56.095,11.816,0.0,0.0,81.582,18.594,0.0,0.0,0.0,0.0,0.0,154.175
2218,0132nit,2-nitropropane,H7C3N1O2,0,-3.14,-13.14,abs,81.364,17.815,54.872,11.921,0.0,0.0,79.85499999999999,11.055,0.0,0.0,0.0,0.0,0.0,151.728
2219,0133nit,1-nitrobutane,H9C4N1O2,0,-3.08,-12.89,abs,104.932,18.521,70.692,14.995,0.0,0.0,81.616,18.604999999999997,0.0,0.0,0.0,0.0,0.0,178.534
2220,0134nit,nitrobenzene,H5C6N1O2,0,-4.12,-17.24,abs,59.174,59.766,40.072,80.285,0.0,0.0,78.03,11.908,0.0,0.0,0.0,0.0,0.0,171.855
2221,0135met,2-methyl-1-nitrobenzene,H7C7N1O2,0,-3.59,-15.02,abs,79.721,62.033,53.894,80.751,0.0,0.0,72.555,11.21,0.0,0.0,0.0,0.0,0.0,191.033
2222,0136met,methanethiol,H4C1S1,0,-1.24,-5.19,abs,51.937,10.673,25.814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.120000000000005,97.988
2223,0137ethb,ethanethiol,H6C2S1,0,-1.3,-5.44,abs,74.839,13.855,41.84,8.545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.331,122.671
2224,0138pro,1-propanethiol,H8C3S1,0,-1.05,-4.39,abs,96.878,16.362,56.629,12.322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.237,147.148
2225,0139thi,thiophenol,H6C6S1,0,-2.55,-10.67,abs,73.412,58.885,41.811,79.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.620000000000005,166.053
2226,0140dim,dimethylsulfide,H6C2S1,0,-1.54,-6.44,abs,73.655,19.143,49.679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.159,122.518
2227,0141dim,dimethyldisulfide,H6C2S2,0,-1.83,-7.66,abs,72.013,19.537,48.588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.496,147.489
2228,0142die,diethylsulfide,H10C4S1,0,-1.43,-5.98,abs,121.423,25.883,81.829,15.938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.226,172.471
2229,0143dip,dipropylsulfide,H14C6S1,0,-1.27,-5.31,abs,165.368,30.932,111.374,23.347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.076,221.345
2230,0144thi,thioanisole,H8C7S1,0,-2.73,-11.42,abs,93.536,66.551,63.235,77.787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.082,187.524
2231,0145pro,allylalcohol,H6C3O1,0,-5.08,-21.25,abs,74.39,31.95,41.502,27.635,9.202,0.0,19.188,0.0,0.0,0.0,0.0,0.0,0.0,125.517
2232,0146met,2-methoxyethanol,H8C3O2,0,-6.77,-28.33,abs,97.4,18.828,56.778,5.125,9.266,0.0,32.199,0.0,0.0,0.0,0.0,0.0,0.0,147.731
2233,0147met,2-methoxyethanamine,H9C3N1O1,0,-6.55,-27.41,abs,110.262,18.303,56.303,4.795,0.0,18.552,13.445,51.778000000000006,0.0,0.0,0.0,0.0,0.0,153.109
2234,0148but,butenyne,H4C4,0,0.04,0.17,abs,50.887,70.239,34.518,93.35600000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.126
2235,0149mor,morpholine,H9C4N1O1,0,-7.17,-30.0,abs,110.676,19.354,65.554,11.944,0.0,9.228,14.122,71.22200000000001,0.0,0.0,0.0,0.0,0.0,151.543
2236,0150mhy,m-hydroxybenzaldehyde,H6C7O2,0,-9.51,-39.79,abs,70.134,66.484,39.182,83.897,8.618,0.0,62.55,0.0,0.0,0.0,0.0,0.0,0.0,179.066
2237,0151phy,p-hydroxybenzaldehyde,H6C7O2,0,-10.48,-43.85,abs,70.02,66.531,39.114,84.045,8.601,0.0,62.919,0.0,0.0,0.0,0.0,0.0,0.0,178.958
2238,0153flu,fluoromethane,H3C1F1,0,-0.22,-0.92,abs,39.044,13.237,26.325,0.0,0.0,0.0,0.0,0.0,43.812,0.0,0.0,0.0,0.0,78.441
2239,0154dif,"1,1-difluoroethane",H4C2F2,0,-0.11,-0.46,abs,50.573,12.519,34.099,7.836,0.0,0.0,0.0,0.0,80.561,0.0,0.0,0.0,0.0,111.017
